CARD_REF,STATE,BRAND_CODE,HOLDER,BALANCE_STR,ACTIVE_FLG,EXPIRY_TXT,CVV_TXT,COUNTRY_CODE,CURR,INTL_FLG,MAX_TX_DAY,MAX_TX_AMT,PROVIDER_NAME,PROVIDER_FEE,PROVIDER_LIMIT,PROVIDER_PRIORITY
VC-105051,B,03,CHRISTINA WADE,"3398,07",Y,04/28,316,ES,USD,N,4,"1180,76",STRIPE,4.00,68675,4
VC-105052,A,04,EDWARD WALKER,"3297,00",N,12/25,906,US,BRL,Y,49,"1488,20",ADYEN,4.47,85682,1
VC-105053,B,01,LEONARD MILES,"609,99",Y,01/24,854,US,BRL,N,31,"4898,06",STRIPE,1.68,33172,5
VC-105054,A,02,MARK BELL,"4439,21",N,04/27,266,BR,BRL,N,20,"1653,54",SQUARE,2.07,55101,5
VC-105055,A,05,ABIGAIL FISHER,"2516,07",N,08/28,803,ES,EUR,Y,40,"1944,04",PAYPAL,2.64,84855,3
VC-105056,A,05,LORI HOLDEN,"4729,64",Y,12/28,595,PT,BRL,N,40,"2889,28",STRIPE,3.68,89113,5
VC-105057,B,03,JOHN GONZALES,"363,87",N,04/25,425,PT,EUR,N,17,"647,48",PAYPAL,3.26,23165,4
VC-105058,A,01,DANA JONES,"3566,32",Y,11/28,687,US,BRL,Y,36,"3099,36",SQUARE,3.61,3740,4
VC-105059,A,03,NATHAN VALENZUELA,"2504,83",Y,07/29,242,BR,EUR,Y,41,"2586,33",STRIPE,1.63,99960,4
VC-105060,B,05,SARA NGUYEN,"4848,49",Y,05/29,108,US,BRL,N,37,"4525,63",STRIPE,1.50,53872,4
VC-105061,B,01,ERICA SANCHEZ,"2949,76",Y,04/29,606,BR,USD,N,16,"2218,15",PAYPAL,3.28,29537,1
VC-105062,B,02,DEVIN GRANT,"588,51",Y,07/29,821,PT,BRL,N,30,"4841,28",PAYPAL,1.45,94789,4
VC-105063,A,02,MATTHEW MUNOZ,"1527,53",N,08/25,425,PT,BRL,Y,29,"2151,31",STRIPE,2.37,22983,5
VC-105064,B,04,DENISE MARSH,"2077,03",N,08/27,384,PT,USD,N,23,"562,71",PAYPAL,1.52,77140,5
VC-105065,B,02,MANUEL RUSSO,"4034,56",N,12/25,958,BR,EUR,N,7,"3497,09",ADYEN,3.46,12339,4
VC-105066,B,03,CHRISTINA SMITH,"3606,94",N,01/29,631,ES,USD,Y,20,"3381,76",ADYEN,4.67,86824,1
VC-105067,B,05,NICHOLAS WILLIAMS,"1938,54",Y,05/27,474,PT,USD,N,29,"2910,60",PAYPAL,1.64,70464,4
VC-105068,A,02,FRANK BURNS,"4877,54",N,12/29,416,US,BRL,N,37,"4838,66",PAYPAL,0.89,31963,1
VC-105069,A,02,VICTORIA JONES,"3612,57",N,05/28,754,US,USD,N,24,"304,14",PAYPAL,1.04,15229,1
VC-105070,A,05,DEBRA TAYLOR,"2229,55",N,09/29,284,BR,EUR,N,48,"2707,22",ADYEN,1.74,88054,4
VC-105071,A,04,CHRISTOPHER BOWERS,"2925,52",N,06/29,532,PT,USD,Y,3,"1618,55",PAYPAL,4.47,31467,2
VC-105072,A,01,DEBORAH MARTINEZ,"4220,41",Y,10/27,130,ES,BRL,Y,19,"791,41",STRIPE,2.22,48628,5
VC-105073,A,05,BRANDON JOHNSON,"199,19",N,04/25,467,BR,BRL,N,19,"2761,60",STRIPE,2.43,48335,3
VC-105074,A,02,KATIE ALEXANDER,"4005,56",N,05/26,982,BR,USD,N,39,"998,54",SQUARE,2.40,58262,2
VC-105075,A,02,MICHAEL ARMSTRONG,"2680,41",N,02/29,225,US,BRL,N,9,"3390,86",PAYPAL,4.93,53152,1
VC-105076,A,05,CONNIE WAGNER,"4757,44",N,11/27,750,US,USD,Y,8,"1889,01",SQUARE,1.84,80571,4
VC-105077,A,01,FELICIA SMITH,"4282,15",N,10/24,123,US,EUR,Y,22,"4587,21",STRIPE,4.82,24103,2
VC-105078,A,02,MEGAN NOBLE,"509,92",N,08/26,597,BR,USD,Y,45,"581,60",PAYPAL,2.22,58815,1
VC-105079,A,03,STEPHEN ADAMS,"3774,44",N,12/25,193,BR,USD,N,46,"1553,08",ADYEN,4.03,40296,3
VC-105080,A,01,STEPHANIE OROZCO,"3234,06",N,01/29,501,US,EUR,N,45,"2066,75",ADYEN,4.84,6064,1
VC-105081,A,02,ANGELA SAMPSON,"298,76",N,11/24,590,BR,BRL,Y,13,"1859,36",PAYPAL,3.53,1567,5
VC-105082,A,03,DENISE MENDOZA,"3083,21",N,08/25,318,BR,USD,N,15,"1842,02",PAYPAL,2.81,75906,5
VC-105083,B,01,NICOLE CUNNINGHAM,"2875,35",N,05/29,159,US,USD,N,48,"1776,99",PAYPAL,2.27,22045,5
VC-105084,B,01,TAMMY PATTERSON,"3516,00",N,03/28,252,BR,BRL,N,48,"2621,46",SQUARE,1.46,86811,1
VC-105085,A,01,RICKY HALL,"3781,87",Y,10/30,149,US,EUR,Y,20,"165,85",ADYEN,2.47,38765,4
VC-105086,B,02,SHANNON LESTER,"1342,30",N,08/25,131,BR,BRL,N,46,"4250,29",SQUARE,1.74,21335,2
VC-105087,A,05,PATRICK DOMINGUEZ,"4087,55",Y,07/25,133,PT,EUR,Y,26,"698,93",SQUARE,3.06,71894,1
VC-105088,B,04,LARRY JACKSON,"1443,08",Y,02/24,321,ES,EUR,N,19,"3579,02",SQUARE,3.21,8161,1
VC-105089,B,03,STEPHEN GREEN,"3927,69",N,12/26,552,ES,BRL,Y,40,"3418,95",STRIPE,2.27,52106,2
VC-105090,A,01,MELISSA SHARP,"4270,82",N,03/24,421,ES,BRL,N,7,"3651,74",SQUARE,1.10,32989,2
VC-105091,B,03,JOSHUA BROWN,"3900,79",N,11/24,745,PT,USD,N,20,"4844,53",SQUARE,4.90,81309,3
VC-105092,B,01,ASHLEY TAPIA,"864,81",Y,04/24,624,PT,USD,Y,9,"3449,80",PAYPAL,1.70,38202,5
VC-105093,A,02,CHRISTIE PORTER,"1351,65",N,05/24,307,ES,EUR,Y,17,"477,49",SQUARE,2.82,67885,4
VC-105094,A,01,AUSTIN MORRISON,"2349,51",N,05/27,436,BR,USD,Y,22,"1485,57",STRIPE,4.11,87877,2
VC-105095,B,03,GREG MILLER,"3043,12",Y,01/25,747,BR,EUR,N,14,"1745,67",SQUARE,3.33,92720,2
VC-105096,A,04,MATTHEW ELLIS,"4500,34",N,03/27,274,ES,BRL,Y,22,"2432,30",PAYPAL,3.06,12033,1
VC-105097,A,02,MICHAEL RODGERS,"3610,31",N,05/24,713,PT,USD,Y,16,"2253,57",SQUARE,3.40,57416,2
VC-105098,A,02,PAUL SHAW,"4238,09",N,10/26,189,PT,EUR,N,36,"4335,21",STRIPE,2.21,45286,4
VC-105099,B,03,BRIAN CORTEZ,"3361,09",N,02/25,713,US,BRL,N,49,"302,78",PAYPAL,2.65,23388,3
VC-105100,B,03,MICHAEL MELTON,"4599,71",Y,05/29,157,BR,EUR,N,30,"1375,00",STRIPE,2.04,39105,1
VC-105101,B,01,SHERRI MORGAN,"4603,41",Y,08/30,394,PT,EUR,Y,50,"4243,53",ADYEN,3.56,58149,2
VC-105102,A,05,LISA HAYS,"1826,40",N,04/24,271,PT,BRL,N,45,"233,15",STRIPE,2.60,29204,4
VC-105103,B,03,MARIO FISHER,"3495,26",Y,03/24,771,US,BRL,N,5,"929,13",SQUARE,2.84,93426,5
VC-105104,B,02,CHEYENNE RODRIGUEZ,"1470,99",N,10/29,869,ES,BRL,Y,20,"3574,49",STRIPE,0.55,39906,2
VC-105105,A,03,ALISON BAILEY,"834,06",Y,11/28,258,ES,EUR,N,25,"1795,47",SQUARE,2.79,46231,2
VC-105106,A,04,LAURA MARTIN,"4677,34",Y,07/25,706,ES,BRL,N,13,"996,55",SQUARE,3.62,46428,4
VC-105107,A,05,STEPHEN CHAVEZ,"1223,77",Y,09/29,323,US,USD,Y,39,"1189,68",STRIPE,4.83,52925,3
VC-105108,B,02,JENNIFER OLSEN,"2824,83",N,12/24,544,BR,BRL,N,45,"809,86",PAYPAL,4.52,18411,5
VC-105109,A,01,DIANA PHILLIPS,"3906,17",Y,01/29,590,BR,EUR,N,5,"354,02",SQUARE,3.70,23323,4
VC-105110,A,05,ERIN BERRY,"3368,82",N,09/30,273,BR,BRL,Y,48,"4849,61",SQUARE,3.26,12903,4
VC-105111,A,04,VANESSA BRENNAN,"541,51",N,05/25,129,PT,EUR,N,32,"1864,03",ADYEN,2.83,36023,2
VC-105112,B,03,HANNAH LEE,"4948,35",Y,02/27,417,BR,USD,N,39,"2916,74",STRIPE,3.28,22043,1
VC-105113,B,01,HAROLD RAMIREZ,"3702,04",Y,01/24,179,US,USD,Y,7,"407,32",ADYEN,0.64,90327,1
VC-105114,A,04,SAMANTHA GOLDEN,"2380,07",Y,02/25,416,US,BRL,N,34,"2825,41",ADYEN,3.66,59971,4
VC-105115,A,04,STEPHANIE HARRIS,"2233,08",N,08/27,199,US,EUR,N,3,"2025,44",PAYPAL,2.77,2923,1
VC-105116,A,05,WILLIAM MORENO,"3763,18",Y,03/26,387,US,BRL,Y,41,"2580,88",ADYEN,3.93,63897,5
VC-105117,B,05,CHRISTINE ANDREWS,"68,88",N,03/30,916,ES,EUR,N,23,"783,29",STRIPE,1.22,58572,3
VC-105118,A,03,ANTHONY PARKER,"772,97",N,06/24,243,ES,USD,Y,42,"3137,24",STRIPE,1.86,17485,2
VC-105119,B,03,SHANNON ESTRADA,"2099,34",Y,09/30,383,US,EUR,N,9,"4815,09",ADYEN,3.59,15781,4
VC-105120,B,03,PAMELA HOWARD,"4942,59",N,09/29,677,US,USD,N,27,"996,16",ADYEN,2.35,91771,4
VC-105121,B,05,JOHN CASTILLO,"3591,01",N,01/30,472,PT,USD,Y,14,"393,81",STRIPE,4.99,46874,1
VC-105122,A,01,ERIK MCKINNEY,"1525,31",Y,06/26,990,ES,USD,Y,18,"4907,11",STRIPE,0.55,8794,2
VC-105123,B,05,TARA THOMPSON,"1517,24",Y,08/27,307,BR,USD,N,20,"346,16",STRIPE,3.97,28080,2
VC-105124,B,03,DAVID WHITE,"1474,55",N,05/27,891,PT,USD,Y,15,"4423,63",SQUARE,1.11,22398,1
VC-105125,A,02,DENNIS HAYDEN,"3903,78",Y,01/30,586,ES,USD,N,30,"616,69",PAYPAL,2.25,38735,4
VC-105126,A,04,JACQUELINE ALLEN,"1288,80",N,07/25,148,US,BRL,N,10,"2762,79",SQUARE,0.95,74501,1
VC-105127,A,05,BRADLEY RUSH,"4003,62",N,01/29,827,PT,BRL,Y,1,"4023,13",SQUARE,2.55,10916,2
VC-105128,B,03,ROBERT BAILEY,"4461,59",N,04/28,617,BR,USD,Y,32,"4633,80",STRIPE,2.65,35263,2
VC-105129,B,02,KEVIN RODRIGUEZ,"324,94",N,01/25,905,ES,EUR,Y,45,"4679,05",PAYPAL,0.83,49495,1
VC-105130,B,05,NANCY SMITH,"885,50",Y,04/29,371,ES,EUR,Y,2,"1768,71",SQUARE,2.02,78052,1
VC-105131,B,01,SHANE HODGES,"4062,84",N,03/24,205,ES,EUR,Y,6,"3251,67",SQUARE,4.27,66143,4
VC-105132,A,05,LINDA TATE,"4813,84",Y,04/29,192,BR,USD,N,27,"3245,84",ADYEN,4.68,99775,3
VC-105133,B,04,GREGORY COPELAND,"2944,80",Y,07/28,170,ES,EUR,Y,43,"1273,38",SQUARE,2.50,34816,4
VC-105134,A,03,CHRISTOPHER HENDERSON,"2080,39",N,04/25,259,BR,USD,Y,31,"3546,98",STRIPE,1.77,17390,4
VC-105135,A,04,REBECCA JOHNSON,"1312,30",N,10/28,558,ES,BRL,Y,7,"2297,43",SQUARE,2.21,17697,1
VC-105136,A,03,ADAM BLAIR,"4461,51",N,10/29,332,ES,USD,Y,35,"4028,73",PAYPAL,0.73,94513,1
VC-105137,B,05,ASHLEY HAHN,"4542,93",N,04/28,597,US,BRL,Y,16,"203,68",PAYPAL,2.96,33190,5
VC-105138,B,03,KRISTEN MACK,"4821,08",Y,05/26,256,PT,USD,N,27,"886,93",STRIPE,1.09,31003,1
VC-105139,B,02,LUIS SIMS,"3573,19",Y,01/25,109,BR,USD,N,10,"1964,46",ADYEN,4.74,67083,4
VC-105140,B,02,COLLEEN DAVIS,"1520,84",N,05/25,309,BR,USD,N,25,"1641,89",STRIPE,4.31,33717,2
VC-105141,A,05,SARAH BOWEN,"944,38",Y,11/29,761,BR,EUR,Y,20,"3578,78",ADYEN,4.53,86249,5
VC-105142,B,03,BENJAMIN LOPEZ,"1845,42",Y,11/27,347,ES,EUR,N,7,"2687,26",SQUARE,1.75,43849,5
VC-105143,A,05,KYLE DUNN,"2967,33",N,09/25,753,ES,USD,Y,18,"4136,42",STRIPE,2.04,1813,4
VC-105144,A,02,PATRICK ASHLEY,"2580,75",N,09/28,423,US,EUR,Y,23,"2407,82",SQUARE,4.02,50478,3
VC-105145,A,05,MEGAN GOODWIN,"330,80",Y,02/29,844,US,USD,N,16,"4058,29",PAYPAL,1.76,51883,3
VC-105146,A,01,RUSSELL WARE,"1804,31",Y,12/26,758,PT,BRL,N,30,"1659,61",PAYPAL,1.07,46441,4
VC-105147,A,02,TAYLOR MARSHALL,"2590,73",Y,10/25,944,BR,USD,Y,30,"4838,55",SQUARE,4.57,38526,3
VC-105148,A,05,ROBERT CRAIG,"2256,99",N,07/28,921,BR,USD,N,45,"4957,79",ADYEN,3.13,82943,4
VC-105149,A,03,LISA BUCK,"750,36",N,06/30,363,PT,EUR,Y,39,"1978,85",STRIPE,0.96,43428,2
VC-105150,A,01,COLLEEN DAVIS,"608,17",N,07/25,141,BR,USD,N,48,"4985,07",ADYEN,0.62,40843,1
VC-105151,B,05,RICHARD NEWMAN MD,"720,57",N,09/24,918,ES,EUR,Y,43,"385,06",PAYPAL,3.37,59473,3
VC-105152,A,03,JENNIFER MEYER,"3454,86",Y,05/24,535,US,USD,Y,17,"4514,72",STRIPE,0.71,20305,2
VC-105153,A,02,JIMMY BENNETT,"4406,30",Y,09/28,636,US,BRL,N,8,"1072,36",PAYPAL,2.39,50056,1
VC-105154,A,01,MICHAEL POWERS,"923,55",Y,09/25,267,BR,BRL,N,3,"3284,09",STRIPE,0.52,56356,2
VC-105155,B,03,CHASE JAMES,"4067,73",Y,12/27,396,US,USD,Y,40,"3365,63",ADYEN,3.45,44396,4
VC-105156,B,03,AMY THOMPSON,"301,20",N,08/26,669,US,USD,Y,28,"4359,14",PAYPAL,1.05,40277,4
VC-105157,A,05,CRYSTAL HORN,"878,64",N,02/24,557,PT,USD,Y,26,"177,53",SQUARE,4.71,50898,3
VC-105158,B,01,GARY FARMER,"4902,15",Y,05/25,528,ES,USD,Y,30,"1030,82",STRIPE,2.48,19002,4
VC-105159,B,03,CHERYL WARD,"2992,98",Y,11/30,262,US,USD,Y,28,"4520,66",PAYPAL,2.35,9147,2
VC-105160,A,05,MRS. AMY WHITE PHD,"1276,38",N,11/26,591,ES,BRL,Y,2,"1172,41",ADYEN,2.29,23735,1
VC-105161,A,03,JACKIE BAILEY,"3180,63",N,08/30,516,ES,EUR,N,10,"3904,08",SQUARE,3.73,41392,2
VC-105162,B,04,CHRIS KNIGHT,"4374,43",N,08/30,582,ES,USD,N,14,"974,77",PAYPAL,2.58,72334,3
VC-105163,A,02,JUSTIN ALLEN,"3542,32",Y,10/25,971,BR,EUR,N,14,"118,62",PAYPAL,4.16,71639,4
VC-105164,B,02,JOHN HOWARD,"2827,68",N,06/30,113,PT,USD,Y,37,"2100,94",PAYPAL,0.87,75666,3
VC-105165,B,03,MICHAEL HOLMES,"3879,61",N,02/28,663,US,BRL,N,18,"1235,49",STRIPE,2.27,52213,4
VC-105166,B,01,IAN BUSH,"832,12",Y,03/26,692,US,USD,N,7,"1100,22",STRIPE,4.32,67573,3
VC-105167,B,02,CALEB CLARK,"1860,18",N,10/28,332,PT,USD,Y,16,"4040,62",SQUARE,3.89,73963,5
VC-105168,B,03,ALISON SCOTT,"1586,44",Y,03/30,703,US,BRL,N,34,"3787,14",SQUARE,3.41,94170,1
VC-105169,A,02,MELISSA FRYE,"2330,12",N,12/27,878,ES,USD,Y,4,"385,86",PAYPAL,1.04,52124,4
VC-105170,B,05,BRYAN BRADY,"3466,01",Y,06/27,774,US,EUR,Y,24,"4117,57",STRIPE,2.45,41047,4
VC-105171,B,04,STEPHANIE SUTTON,"2817,73",Y,06/26,997,BR,BRL,N,28,"2147,49",ADYEN,1.91,42347,1
VC-105172,A,04,AARON HARRISON,"3214,31",Y,01/25,220,BR,BRL,N,15,"1277,97",STRIPE,0.98,94159,5
VC-105173,A,05,CANDICE MARTINEZ,"453,40",N,12/29,499,US,EUR,N,3,"382,91",ADYEN,3.42,91412,1
VC-105174,A,02,NATALIE SIMMONS,"4641,19",Y,12/25,919,ES,BRL,N,49,"271,39",PAYPAL,1.39,78818,2
VC-105175,B,05,TANNER GARNER,"2174,73",Y,06/27,480,US,BRL,N,30,"2871,44",ADYEN,1.29,53590,1
VC-105176,A,01,JUSTIN LAWSON,"2088,96",N,09/24,850,US,EUR,N,3,"3396,92",STRIPE,2.08,39039,2
VC-105177,A,01,MICHAEL RAY,"1697,64",N,10/25,290,PT,EUR,Y,1,"4341,31",SQUARE,1.36,18983,2
VC-105178,B,04,MELANIE HUGHES,"4577,04",N,02/24,704,ES,USD,Y,47,"752,61",PAYPAL,1.88,94092,1
VC-105179,B,05,ALEX CORTEZ,"4781,24",Y,08/29,134,US,USD,Y,31,"3627,39",SQUARE,4.45,55531,1
VC-105180,A,05,REGINA GREEN,"118,78",Y,06/24,908,BR,BRL,Y,7,"1788,01",SQUARE,1.40,13285,2
VC-105181,A,04,SYDNEY EVANS,"2544,64",N,01/28,892,BR,USD,Y,28,"1121,65",SQUARE,4.42,38184,4
VC-105182,A,04,NICOLE MOORE,"546,09",N,06/30,533,ES,USD,N,34,"2020,57",ADYEN,4.54,6866,2
VC-105183,B,01,PETER WALTERS,"2717,38",N,05/27,687,US,EUR,Y,18,"4782,13",SQUARE,1.86,65174,5
VC-105184,A,05,ANTHONY MARTIN,"2863,08",N,11/24,493,ES,EUR,N,44,"1893,36",STRIPE,0.82,1690,5
VC-105185,A,02,PATRICK FLORES,"1576,74",N,06/26,907,PT,USD,Y,22,"1292,95",PAYPAL,4.26,87797,2
VC-105186,A,01,DEANNA KING,"2617,92",Y,01/27,520,PT,EUR,Y,27,"2905,73",ADYEN,4.81,43969,1
VC-105187,A,02,ALEXIS PHILLIPS,"2528,27",N,12/28,240,PT,BRL,Y,4,"1250,86",ADYEN,4.79,71116,5
VC-105188,B,05,KARINA LOWE,"2799,01",N,12/24,219,ES,BRL,Y,23,"2878,73",SQUARE,1.91,34625,4
VC-105189,A,05,TRACI ACOSTA,"1484,63",Y,07/29,800,ES,BRL,Y,50,"1834,87",ADYEN,1.98,16681,1
VC-105190,A,03,ELIZABETH SMITH,"3569,23",Y,10/30,279,PT,USD,Y,32,"886,17",STRIPE,1.17,54906,4
VC-105191,B,02,ELIZABETH MALONE,"2329,04",Y,12/28,196,BR,USD,Y,41,"3763,95",STRIPE,1.99,85658,5
VC-105192,A,04,NICOLE FISCHER,"4467,57",N,07/30,367,ES,BRL,Y,37,"3785,16",SQUARE,3.10,46966,1
VC-105193,B,01,MARIE OWENS,"1955,64",N,12/27,468,ES,USD,Y,15,"2642,13",ADYEN,0.73,76685,2
VC-105194,B,01,KELLI CAMPBELL,"4301,20",Y,08/25,886,BR,EUR,N,19,"4728,13",SQUARE,1.05,29666,1
VC-105195,A,01,CHARLES GARCIA,"3897,96",Y,08/26,199,BR,EUR,N,14,"2252,68",PAYPAL,1.90,70366,4
VC-105196,A,03,CHRISTOPHER WILLIS,"4545,10",Y,11/26,278,PT,EUR,N,12,"2648,10",SQUARE,2.15,93581,5
VC-105197,A,01,WESLEY BAKER,"4068,42",N,08/24,287,ES,USD,N,7,"3897,48",PAYPAL,2.88,50643,1
VC-105198,B,04,TERESA ROBERTSON,"108,35",Y,07/26,502,BR,USD,N,31,"229,04",SQUARE,4.74,8244,1
VC-105199,B,04,MARISSA GREGORY,"1937,73",Y,11/24,694,BR,USD,N,38,"1575,19",SQUARE,1.07,92864,5
VC-105200,B,05,MRS. DAWN ARMSTRONG,"4038,36",N,02/28,285,BR,EUR,N,4,"3929,58",PAYPAL,0.86,52256,4
VC-105201,B,02,ANNE GONZALEZ,"3779,12",Y,02/30,733,ES,USD,N,5,"3651,80",STRIPE,1.85,19690,4
VC-105202,A,05,JOSEPH GARCIA,"4720,24",Y,12/26,382,PT,USD,Y,4,"4410,34",ADYEN,3.46,35106,1
VC-105203,B,05,DR. REBECCA JACKSON PHD,"1486,85",N,07/27,673,ES,EUR,Y,31,"3502,18",STRIPE,2.72,46287,5
VC-105204,A,03,PATRICIA SWANSON,"4560,91",Y,04/28,512,ES,USD,Y,12,"1377,95",PAYPAL,4.11,36245,3
VC-105205,A,05,LOGAN NAVARRO,"2796,81",Y,09/25,693,BR,BRL,N,48,"3384,46",ADYEN,2.57,87597,3
VC-105206,B,04,JACOB MILLER,"2938,44",Y,04/27,671,ES,EUR,Y,20,"1442,64",PAYPAL,1.21,38973,4
VC-105207,A,04,KELLI JOHNSON,"1126,25",Y,03/28,141,PT,BRL,N,34,"3718,44",SQUARE,2.62,87677,2
VC-105208,A,02,TAMMY ATKINS,"2628,48",N,05/29,530,US,USD,N,19,"3402,13",PAYPAL,2.41,49936,4
VC-105209,B,03,ANDREW SANDERS,"3973,01",Y,10/30,766,ES,BRL,Y,47,"597,51",PAYPAL,1.34,97620,2
VC-105210,B,02,DIANA HALL,"4099,93",Y,08/27,924,PT,EUR,N,11,"379,27",PAYPAL,4.80,9496,5
VC-105211,A,02,NATHANIEL SPENCER,"1035,19",Y,07/26,907,US,USD,N,20,"913,48",STRIPE,2.86,31824,2
VC-105212,B,04,CAITLIN REEVES,"4642,36",N,01/28,571,ES,BRL,Y,8,"2970,68",PAYPAL,2.86,79825,4
VC-105213,B,02,SHARON WOOD,"2296,51",N,03/29,489,PT,USD,N,8,"2481,47",PAYPAL,3.28,4517,3
VC-105214,B,05,TRACEY SMITH PHD,"2514,11",Y,01/28,373,BR,BRL,Y,7,"1322,81",SQUARE,1.09,63256,5
VC-105215,A,01,ANGELA STANTON,"3715,37",N,05/26,106,BR,USD,N,49,"3407,88",SQUARE,2.45,74003,2
VC-105216,B,04,MATTHEW DAVIS,"3738,31",N,06/28,838,US,BRL,Y,39,"2862,57",SQUARE,2.42,51911,4
VC-105217,A,03,JOHN PERRY,"3124,80",Y,07/29,786,US,BRL,N,12,"739,84",PAYPAL,1.94,55699,4
VC-105218,A,04,SANDRA MURPHY,"3453,10",Y,06/29,856,US,USD,N,29,"2315,94",PAYPAL,3.55,7048,4
VC-105219,A,03,JENNA THOMPSON,"1814,17",Y,08/30,595,BR,BRL,N,50,"706,21",PAYPAL,4.22,52776,1
VC-105220,A,01,MELINDA HURLEY,"611,81",Y,12/30,949,BR,USD,Y,28,"2270,27",STRIPE,3.44,3440,5
VC-105221,B,01,THOMAS GARCIA,"1332,61",N,09/30,784,ES,BRL,Y,26,"1351,69",SQUARE,1.67,22718,3
VC-105222,A,01,TAMMY SHAW,"3756,17",N,04/29,180,BR,BRL,N,3,"2606,15",STRIPE,4.99,71570,5
VC-105223,A,05,MICHAEL BRIGHT,"621,72",N,10/29,799,US,USD,N,33,"1276,73",PAYPAL,3.69,9639,5
VC-105224,A,05,MEGAN ATKINS,"3747,67",Y,04/27,648,ES,BRL,N,25,"4125,92",STRIPE,4.35,6889,5
VC-105225,B,05,ALEXIS SAUNDERS,"2018,28",Y,07/25,497,BR,BRL,N,34,"127,08",PAYPAL,0.52,41091,2
VC-105226,B,01,NOAH OLSEN,"2024,36",N,03/30,769,US,USD,N,12,"2175,99",ADYEN,4.71,58051,5
VC-105227,B,02,SHEILA MEDINA,"2569,07",N,08/26,689,US,BRL,Y,50,"645,62",PAYPAL,3.29,89629,4
VC-105228,B,04,REBECCA LOPEZ,"2801,23",Y,08/30,169,ES,USD,N,2,"2029,79",SQUARE,4.96,99453,4
VC-105229,B,04,HAROLD RYAN,"4600,73",Y,06/27,520,BR,EUR,N,22,"4122,47",ADYEN,2.17,44216,2
VC-105230,B,03,DARRELL PINEDA,"2142,69",N,05/30,141,ES,EUR,N,8,"4518,11",PAYPAL,3.72,35351,4
VC-105231,B,02,JESSICA JACOBSON,"4140,11",N,10/30,966,US,EUR,Y,35,"2260,49",SQUARE,4.52,60440,2
VC-105232,B,03,KRISTY PHILLIPS,"3079,49",Y,05/29,861,BR,USD,Y,36,"1582,40",ADYEN,2.18,99264,3
VC-105233,A,01,JODY CHERRY,"1913,53",Y,03/26,809,US,EUR,N,31,"1497,37",ADYEN,5.00,10776,3
VC-105234,A,01,ALLISON SMITH,"3465,67",Y,05/28,341,ES,BRL,N,39,"475,25",STRIPE,3.84,13893,4
VC-105235,B,02,EUGENE LANE,"3831,49",Y,11/28,293,US,EUR,Y,4,"4710,41",PAYPAL,1.68,34386,5
VC-105236,B,05,BRYAN WILLIAMS,"1567,91",Y,07/30,437,US,BRL,N,35,"2686,44",PAYPAL,4.18,19988,2
VC-105237,A,03,CHARLES RIVERS,"4016,61",N,03/25,348,US,USD,N,25,"387,71",SQUARE,4.81,94290,5
VC-105238,A,02,BEVERLY GAY,"734,88",N,02/26,711,ES,BRL,Y,1,"612,82",SQUARE,4.97,19514,4
VC-105239,A,04,LAURA ADKINS,"3020,77",N,06/28,236,US,USD,Y,26,"2245,62",SQUARE,1.83,18916,3
VC-105240,B,04,EMILY LEBLANC,"2752,15",N,01/30,343,PT,EUR,Y,49,"4277,69",SQUARE,2.70,54321,1
VC-105241,A,01,KENNETH BAKER,"4609,60",N,01/24,272,US,EUR,N,20,"4257,33",ADYEN,0.81,93599,1
VC-105242,A,02,MRS. SUSAN CARTER MD,"2393,37",N,04/28,589,US,EUR,Y,18,"3520,51",SQUARE,0.65,46301,1
VC-105243,B,01,ELIZABETH THOMPSON,"2485,43",Y,05/30,506,PT,EUR,N,28,"4684,01",PAYPAL,2.84,61788,3
VC-105244,A,02,DONNA WALTERS,"4355,92",N,10/28,423,PT,USD,N,8,"3790,46",STRIPE,3.84,12649,5
VC-105245,A,03,JAMES TREVINO,"890,62",N,08/30,748,ES,EUR,Y,43,"1043,53",PAYPAL,3.69,23022,3
VC-105246,A,05,JOSHUA SMITH,"818,68",N,07/29,609,BR,BRL,Y,36,"1454,60",ADYEN,4.21,18906,1
VC-105247,B,02,LINDSEY JENSEN,"3656,45",N,09/27,891,US,EUR,N,38,"4332,10",STRIPE,0.65,88929,2
VC-105248,B,05,REBECCA RUSSO,"1360,05",Y,11/24,553,BR,BRL,N,11,"3797,61",SQUARE,4.77,20676,4
VC-105249,B,01,MISS KRISTINA TAYLOR MD,"1285,75",N,10/30,726,ES,EUR,Y,5,"1878,80",SQUARE,0.62,10837,2
VC-105250,B,01,MS. SARAH RANGEL,"4736,43",N,07/24,996,US,EUR,N,11,"2655,55",STRIPE,3.75,7533,1
VC-105251,B,01,JOHN STEWART DDS,"4260,63",N,07/26,915,US,BRL,Y,19,"344,30",ADYEN,4.46,23274,2
VC-105252,B,05,SAMANTHA RODRIGUEZ,"2389,80",Y,01/27,804,ES,BRL,Y,28,"2155,46",PAYPAL,3.32,47746,2
VC-105253,A,02,JANE ALEXANDER,"3,97",Y,10/29,677,PT,EUR,N,14,"1601,15",ADYEN,3.76,30849,2
VC-105254,B,02,WILLIAM CHAVEZ,"4962,10",N,06/26,276,PT,USD,N,42,"4002,25",ADYEN,3.94,82847,1
VC-105255,A,02,RAYMOND GUERRA,"1290,32",Y,12/30,534,US,USD,N,14,"4778,38",STRIPE,1.72,74180,1
